Initials,Date,Course_ID,Time (m),Summary
BWT,1/7/2022,DS-160-01,70,"Timesheet Setup, Reading for Module 1"
BWT,1/7/2022,DS-160-01,65,Reading for Module 1
BWT,1/7/2022,DS-160-01,55,Reading for Module 1
BWT,1/7/2022,CHEM-104-04,45,Lecture Video and Notes
BWT,1/8/2022,BIOL-130-01,40,Lecture Video and Review Worksheet
BWT,1/8/2022,BIOL-130-01,45,Chapter 1 Review
BWT,1/9/2022,BIOL-130-01,105,Chapter 1 Review
BWT,1/9/2022,BIOL-130-01,30,Chapter 2 Notes
BWT,1/9/2022,CHEM-104-04,40,Polyatomic Ion Review
BWT,1/10/2022,BUSA-103-02,35,Chapter 1 Reading
BWT,1/10/2022,BIOL-130L-02,40,Safety Training
BWT,1/10/2022,BUSA-103-02,25,Chapter 1 Reading
BWT,1/11/2022,CHEM-104-04,30,Bonding Shape Memorization
BWT,1/11/2022,BIOL-130-01,50,Effective Study Strategies
BWT,1/11/2022,BIOL-130-01,60,Effective Study Strategies
BWT,1/12/2022,BUSA-103-02,55,Chapter 3 Reading
BWT,1/12/2022,CHEM-104-04,115,Chapter 10 Practice Problems
BWT,1/13/2022,CHEM-104-04,125,Chapter 10 Practice Problems
BWT,1/13/2022,BIOL-130-01,40,Asynchronous Lecture and Notes
BWT,1/13/2022,CHEM-104-04,20,Chapter 10 Practice Problems
BWT,1/16/2022,CHEM-104L-06,185,VSEPR Theory
BWT,1/17/2022,IDC-101H-02,55,Five Chimneys Reading
BWT,1/18/2022,DS-160-01,10,Github Setup and Submission
BWT,1/18/2022,DS-160-01,40,Chapter 3 Reading
BWT,1/18/2022,BIOL-130-01,45,Quiz Review
BWT,1/19/2022,BUSA-103-02,60,Internship Interview
BWT,1/19/2022,CHEM-104-04,70,Polyatomic Ion Review
BWT,1/19/2022,IDC-101H-02,65,Five Chimneys Reading
BWT,1/19/2022,BIOL-130-01,25,Review
BWT,1/20/2022,CHEM-104-04,110,Review
BWT,1/21/2022,BIOL-130-01,30,Review
BWT,1/23/2022,CHEM-104-04,75,Review
BWT,1/23/2022,DS-160-01,25,Chapter 5 Reading
BWT,1/24/2022,BUSA-103-02,55,Internship Interview 2
BWT,1/24/2022,IDC-101H-02,20,Five Chimneys Reading
BWT,1/25/2022,IDC-101H-02,55,Five Chimneys Reading
BWT,1/25/2022,DS-160-01,10,GitBash Command Line Setup
BWT,1/25/2022,BIOL-130-01,35,Test Review
BWT,1/25/2022,BIOL-130-01,70,Test Review
BWT,1/26/2022,BIOL-130L-02,20,Lab 2 Reflection
BWT,1/26/2022,BIOL-130L-02,15,Lab 2 Reflection
BWT,1/26/2022,IDC-101H-02,65,Five Chimneys Reading
BWT,1/27/2022,BIOL-130L-02,40,Lab 2 Reflection
